Conference,Acronym,Year,Topic,Papers(5Y),Citations(5Y),h5,h5_source,SBC_Class,Google_Scholar_ID,DBLP_ID
IEEE International Symposium on Mixed and Augmented Reality,ISMAR,2025,General,,,37,(2025) [GS],Top10,saKKhfQeF-MJ,ismar
Annual IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,2025,General,,,37.0,(2025) [GS],Top10,MVYbyyKMpToJ,dsn
International Semantic Web Conference,ISWC,2025,General,,,37.0,(2025) [GS],Geral,AETH84_wOIQJ,semweb
International Conference on Knowledge Engineering and Semantic Web,KESW,2025,General,,,37,(2025) [GS],Geral,,kesw
Conference on Innovations in Theoretical Computer Science,ITCS,2025,General,,,37,(2025) [GS],Top10,YFgbcWcmuG4J,itcs
SIAM International Conference on Data Mining (SDM),SDM,2025,General,,,36,(2025) [GS],Top20,eM05sD1nEv4J,sdm
ACM Conference on Embedded Network Sensor Systems,SenSys,2025,General,,,36,(2025) [GS],Top20,LThmRgAPtwoJ,sensys
International Conference on Advances in Social Networks Analysis and Mining,ASONAM,2025,General,,,36,(2025) [GS],Geral,71Q5CJZj-VYJ,asunam
"IEEE International Conference on Systems, Man and Cybernetics",SMC,2025,General,,,36,(2025) [GS],Top10,qJlcVei6YeoJ,smc
Annual Meeting of the Cognitive Science Society,COGSCI,2025,General,,,36,(2025) [GS],Geral,e23jKy7NXr8J,cogsci
Symposium On Usable Privacy and Security,SOUPS,2025,General,,,35,(2025) [GS],Top20,d6VxAyLWqWgJ,soups
Theory of Cryptography,TCC,2025,General,,,35,(2025) [GS],Top20,JP81m6yJpiEJ,tcc
IEEE International Conference on Software Maintenance and Evolution,ICSME,2025,General,,,35,(2025) [GS],,,
World Congress on Medical and Health Informatics,MEDINFO,2025,General,,,35.0,(2025) [GS],Top10,dZLYXaFx_-EJ,medinfo
International Conference on Machine Vision Applications,MVA,2025,General,,,35.0,(2025) [GS],Geral,jv1gvzv4-LgJ,mva
"International Conference on Availability, Reliability and Security, ARES",ARES,2025,General,,,35,(2025) [GS],Top20,GIrj2BSjfiwJ,IEEEares
International Conference on Information Systems (ICIS),ICIS,2025,General,,,35,(2025) [GS],Top10,hL4tvEz50McJ,icis
Medical Informatics Europe,MIE,2025,General,,,35.0,(2025) [GS],Top20,dZLYXaFx_-EJ,mie
European Signal Processing Conference (EUSIPCO),EUSIPCO,2025,General,,,35,(2025) [GS],Geral,oJ-ZYoNCyCQJ,eusipco
International Conference on Tools and Algorithms for the Construction and Analysis of Systems (TACAS),TACAS,2025,General,,,35,(2025) [GS],Top10,_zC9HnSttFIJ,
IEEE International Symposium on Robot and Human Interactive Communication,RO-MAN,2025,General,,,34,(2025) [GS],Top10,yHxohuW00noJ,
IEEE International Conference on Cloud Computing,IEEECLOUD,2025,General,,,34,(2025) [GS],Geral,ioohKoS5imcJ,ieeecloud
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,2025,General,,,34.0,(2025) [GS],Top20,oGDa9y0RKw8J,etfa
Asia and South Pacific Design Automation Conference (ASP-DAC),ASP-DAC,2025,General,,,34,(2025) [GS],Top10,4OI7pMNBopQJ,aspdac
IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS),BTAS,2025,General,,,34,(2025) [GS],Geral,FetF6O7LEY8J,btas
"IEEE International Conference on Software Testing, Verification and Validation (ICST)",ICSTV,2025,General,,,34,(2025) [GS],,,
IEEE International Conference on Communications Workshops (ICC Workshops),ICC,2025,General,,,34,(2025) [GS],Top10,RIbmH16J7yoJ,icc
IEEE International Conference on Blockchain,BLOCKCHAIN,2025,General,,,34,(2025) [GS],Geral,DGN3r9u7HNQJ,blockchain2
IEEE International Conference on Cloud Computing,CLOUD,2025,General,,,34,(2025) [GS],Geral,ioohKoS5imcJ,IEEEcloud
IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS),ICB,2025,General,,,34,(2025) [GS],Top10,,icb
Asia and South Pacific Design Automation Conference (ASP-DAC),DAC,2025,General,,,34,(2025) [GS],Top10,LMgtaHBu8WIJ,dac
ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,PPOPP,2025,General,,,33.0,(2025) [GS],Top10,JDUQTRUV4EYJ,ppopp
Annual IEEE Consumer Communications & Networking Conference,CCNC,2025,General,,,33,(2025) [GS],Geral,IzHKIKh35TsJ,ccnc
"International Conference on User Modeling, Adaptation and Personalization (UMAP)",UMAP,2025,General,,,33,(2025) [GS],Geral,jtXTIwcBWV8J,um
IEEE/IFIP Network Operations and Management Symposium,NOMS,2025,General,,,33,(2025) [GS],Geral,DWJBNISV1bQJ,noms
Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),PAKDD,2025,General,,,33,(2025) [GS],Top20,I9UJ598p80sJ,pakdd
IEEE RAS International Conference on Humanoid Robot,Humanoids,2025,General,,,33.0,(2025) [GS],Top10,cvOaqvRdsZQJ,
ACM International Conference on Multimedia Retrieval,ICMR,2025,General,,,33,(2025) [GS],Top10,_3Q9NfFmueMJ,mir
International Conference on Automated Planning and Scheduling (ICAPS),ICAPS,2025,General,,,33,(2025) [GS],Top10,Mr2FEgodZ4QJ,icaps
IEEE World Forum on Internet of Things,WF-IoT,2025,General,,,32.0,(2025) [GS],Top20,gSjQo1cwB88J,wf-iot
IEEE International Conference on Program Comprehension,ICPC,2025,General,,,32,(2025) [GS],,,
"IEEE International Conference on Systems, Man and Cybernetics",IEEE SMC,2025,General,,,32.0,(2025) [GS],Top10,,
International Conference on Artificial Neural Networks,ICANN,2025,General,,,32.0,(2025) [GS],Top20,Tt40B1pBgEEJ,icann
Extended Semantic Web Conference,ESWS,2025,General,,,32,(2025) [GS],Top20,mf0MeYwvqwoJ,esws
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,2025,General,,,32,(2025) [GS],Geral,Hh3XGFymILkJ,icbc2
International Conference on Digital Information Management,ICDIM,2025,General,,,32,(2025) [GS],Geral,,icdim
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,2025,General,,,32,(2025) [GS],Top10,c5bgEi18VesJ,assets
IEEE Global Engineering Education Conference,EDUCON,2025,General,,,32.0,(2025) [GS],Top10,oWx0DwbR58MJ,educon
IEEE International Requirements Engineering Conference,RE,2025,General,,,32,(2025) [GS],,,
IEEE Symposium Series on Computational Intelligence,SSCI,2025,General,,,31,(2025) [GS],Geral,c3DqEnruQwEJ,ssci
Extended Semantic Web Conference,ESWC,2025,General,,,31,(2025) [GS],Geral,AETH84_wOIQJ,esws
ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp,2025,General,,,31,(2025) [GS],Top20,K6EHRjh8bWIJ,huc
"IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",TRUSTCOM,2025,General,,,31,(2025) [GS],Top20,eMr22KXtlXcJ,trustcom
International Conference on Educational Data Mining (EDM),EDM,2025,General,,,31,(2025) [GS],Top10,omHmP0TWqbUJ,edm
IEEE International Conference on Bioinformatics and Biomedicine,BIBM,2025,General,,,31,(2025) [GS],Top10,4m3nKpBBPt4J,
International Conference on Computer Vision Theory and Applications,VISAPP,2025,General,,,31.0,(2025) [GS],Top20,ljGmmUmHfUwJ,visapp
International Conference on Computational Science and Its Applications,ICCSA,2025,General,,,31,(2025) [GS],,,
"International Conference on Tangible, Embedded, and Embodied Interaction",TEI,2025,General,,,31,(2025) [GS],Top20,KRPnqF5qBUgJ,tei
ACM International Conference on Multimodal Interfaces,ICMI,2025,General,,,31,(2025) [GS],Top20,FeNM07eYolwJ,icmi
ACM Annual Symposium on Computer-Human Interaction in Play,CHIPlay,2025,General,,,31.0,(2025) [GS],Top10,,chiplay
International Conference on Evaluation and Assessment in Software Engineering,EASE,2025,General,,,31,(2025) [GS],,,
IEEE Annual Computer Software and Applications Conference (COMPSAC),COMPSAC,2025,General,,,30,(2025) [GS],Geral,VV1RRR7eju4J,compsac
ACM Symposium on Principles of Distributed Computing (PODC),PODC,2025,General,,,30,(2025) [GS],Top10,fcioh0Px5iMJ,podc
Conference on Computational Natural Language Learning (CoNLL),CoNLL,2025,General,,,30,(2025) [GS],Top10,H7TUtVM_vm4J,conll
"IEEE Custom Integrated Circuits Conference, CICC",CICC,2025,General,,,30,(2025) [GS],Geral,yHnzH6ndKgwJ,cicc
ACM Web Science Conference,WEBSCI,2025,General,,,30,(2025) [GS],Geral,bjjY0KRB7JIJ,websci
AMIA Symposium,AMIA,2025,General,,,30.0,(2025) [GS],Top10,MtRw20mokCYJ,amia
International Conference on Document Analysis and Recognition,ICDAR,2025,General,,,30,(2025) [GS],Geral,HF-0Hiax7t8J,icdar
"IEEE International Conference on Automation Science and Engineering, CASE",CASE,2025,General,,,30,(2025) [GS],Top10,iJOqTiZA0TgJ,case
ACM/IEEE Symposium on Logic in Computer Science,LICS,2025,General,,,30.0,(2025) [GS],Top10,5mWbSIB9be8J,lics
International Conference on Extending Database Technology (EDBT),EDBT,2025,General,,,29,(2025) [GS],,,
ACM Conference on Emerging Network Experiment and Technology (CoNEXT),CONEXT,2025,General,,,29,(2025) [GS],Top10,pj0-opwdew8J,conext
IEEE International Conference on Soft Robotics,RoboSoft,2025,General,,,29,(2025) [GS],Geral,ozuU4D3JRbUJ,
International Natural Language Generation Conference,INLG,2025,General,,,29.0,(2025) [GS],Top20,WcIBEdCoDl0J,inlg
"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",CCGRID,2025,General,,,29.0,(2025) [GS],Top10,_IeLSKDu4j0J,ccgrid
International Conference on Unmanned Aircraft Systems,ICUAS,2025,General,,,29,(2025) [GS],Top10,P7JmirE2spgJ,
World Congress of the International Federation of Automatic Control,IFAC,2025,General,,,29.0,(2025) [GS],Geral,bIF9l832asoJ,
International Computing Education Research Conference (ICER),ICER,2025,General,,,29,(2025) [GS],Top10,v0xCU4OEvKUJ,icer
Americas Conference on Information Systems (AMCIS),AMCIS,2025,General,,,29,(2025) [GS],Top10,Z7jeczV8wooJ,amcis
"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",ISPRS,2025,General,,,29.0,(2025) [GS],Top10,jll6j_M0-kEJ,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",OOPSLA,2025,General,,,29.0,(2025) [GS],Top10,k7wjG1erdwwJ,oopsla
Conference on Human Information Interaction and Retrieval,CHIIR,2025,General,,,29,(2025) [GS],,,
